vocation,gender
abbÃ©,male
abbé,male
abbedissa,female
abbot,male
abedissa,female
abonnemangschef,unknown
abonnemangsförsäljare,unknown
abonnentingenjör,unknown
abonnentinstruktris,female
abonnentman,male
accidenssättare,unknown
accidenstryckare,unknown
acetatarbetare,unknown
acetonarbetare,unknown
ackordmätare,unknown
ackordsättare,unknown
ackordsberedare,unknown
ackordsuträknare,unknown
ackumulatorarbetare,unknown
ackumulatorskötare,unknown
ackuschörska,female
ackvisitör,unknown
ackvisitor,unknown
adb-projektledare,unknown
ädelgasrorssmältare,unknown
adelsfröken,female
adelsjungfru,female
adelsman,male
ädelsmed,unknown
ädelstensslipare,unknown
adjunct,unknown
adjunkt,unknown
adjutants-sultan,male
administratör,unknown
adremabiträde,unknown
adresserare,unknown
adresskontorist,unknown
adresspräglare,unknown
aducerare,unknown
aduceringsfurman,unknown
aduceringsriktare,unknown
aducerpackare,unknown
advocat,unknown
advokatfiskal,unknown
advokatsekreterare,unknown
advokat,unknown
aeronaut,unknown
afasipedagog,unknown
afdelningschef,unknown
affärsbiträde,unknown
affärsbokhallare,unknown
affärsbud,unknown
affärschef,unknown
affärsdekoratör,unknown
affärsdräng,male
affärselev,female
affärsförestandare,unknown
affärsförestånderska,female
affärsidkare,unknown
affärsidkerska,female
affärsingenjör,unknown
affärsinnehavare,unknown
affärsinnehaverska,female
affärsjurist,unknown
affärskarl,male
affärskassörska,unknown
affärskontrollant,unknown
affärsman,male
affärsområdeschef,unknown
affärsrådgifvare,unknown
affärsresechef,unknown
affärsvän,unknown
affärsvärdinna,female
affischbärare,unknown
affischklistrare,unknown
öfverbanmästare,male
öfverbefälhafvare,male
öfverbefäl,male
öfverbringerska,female
öfverceremonimästaren,unknown
öfver-ceremonimästare,male
öfver-direktör,male
öfverdirektör,male
öfverdomare,unknown
öfverherde,male
öfverhofinästarinna,female
öfverhofjägmästare,male
öfverhofmarskalk,male
öfverhofmästare,unknown
öfverhofmästarinna,female
öfverhofpredikant,male
öfver-hofpredikant,unknown
öfver-hofstallmästare,male
öfverhofstallmästare,unknown
öfverinspektor,unknown
öfverintendent,unknown
öfverjägmästare,unknown
öfverjägmästarinna,female
öfverkapellmästare,male
öfverkypare,male
öfverlandtbyggmästare,male
öfverlöpare,unknown
öfverluntmästare,unknown
öfwermachinist,unknown
öfverman,male
öfvermaskinist,unknown
öfverpatriarkinna,female
öfverpostdirektör,male
öfverpresident,male
öfverrotmästare,unknown
öfversäll,male
öfversättare,unknown
öfversättarinna,female
öfwersättarinna,female
öfversittare,unknown
öfverståthållare,unknown
öfverste-kammarherre,male
öfverste-lieutenantska,female
öfverstesekreterare,unknown
öfverste,male
öfverstinna,female
öfvertrollkejsare,male
öfvervaktmästare,unknown
agenturaffärsinnehaverska,female
agent,unknown
ägghandlerska,female
äggknäckare,unknown
äggpackare,unknown
äggplockare,unknown
äggpulverfabriksarbetare,unknown
agitator,unknown
agopinnare,unknown
agopressare,unknown
agroaviatör,unknown
agrolog,male
agronomassistent,unknown
agronom,unknown
akademie-adjunkt,male
akademie-vaktmästare,unknown
akademikamrer,unknown
akademikansler,male
akademiombudsman,unknown
akademiräntmästare,unknown
akademisekreterare,unknown
akademist,unknown
åkardräng,male
åkaredräng,male
åkare,unknown
ökenkonung,male
åkerbrukare,unknown
akeriägare,unknown
åkeriägare,unknown
åkeribiträde,unknown
åkerichaufför,male
akeridirektör,unknown
åkeridirektör,unknown
åkeriföreståndare,unknown
aklagaraspirant,unknown
aklagarassistent,unknown
åklagare,unknown
åklagarinna,female
åklagarn,male
akrobatqvinna,female
akrobat,unknown
äktenskapsmäklerska,female
äktenskapsstiftare,unknown
äktenskapsstifterska,female
akterstäderska,female
aktiekonsulent,unknown
aktiveringsbiträde,unknown
aktivitetsledare,unknown
aktivitetsman,unknown
aktuarie,unknown
akupunktör,unknown
akustiker,unknown
akustikingenjör,unknown
akustikreglerare,unknown
akvanaut,unknown
akvarellist,unknown
akvariefiskuppfödare,unknown
alarmeringstekniker,unknown
alarminstallatör,unknown
alarmoperatör,unknown
alaskabaron,male
alderdomshemsbiträde,unknown
alderdomshemsförestandare,unknown
alderdomshemsvaktmästare,unknown
ålderspresident,unknown
åldfru,female
åldgesäll,male
äldreombudsman,unknown
alfdrottning,female
älfdrottning,female
algolog,unknown
ölhallsinnehaverska,female
ölkrogsinnehaverska,female
allergolog,male
allmoseutdelerska,female
ölpiga,female
alpinist,unknown
alpjägare,unknown
älsklingsförfattare,unknown
älsklings-skald,unknown
älsklingsskald,unknown
älsklingstjenarinna,female
öltappare,unknown
öltapperska,female
öltappsinnehaverska,female
aluminiumavsynare,unknown
aluminiumfabriksarbetare,unknown
aluminiumgjutare,unknown
aluminiumplatslagare,unknown
ölutköraredräng,male
ölutkörningskassörska,female
alvastra-nunna,female
amanuens,unknown
amatörastronom,unknown
amatörforskare,unknown
amatörkemist,unknown
amatörsinolog,unknown
amatör,unknown
ambassadör,unknown
ambassadråd,unknown
ambassadsekreterare,unknown
ambassadtjänsteman,unknown
ämbetsbroder,male
ämbetsman,male
ambulansförare,unknown
ambulansman,unknown
amiralitetspastor,unknown
amiralitetspredikant,unknown
amiralitetsrad,unknown
ammoniakkokare,unknown
ammunitionsarbetare,unknown
ammunitionsavsynare,unknown
ammunitionsfabriksarbeterska,female
ammunitionshylseavsynare,unknown
ämnesföreträdare,unknown
ämnesinläggare,unknown
ämnesinvägare,unknown
ämnesklippare,unknown
ämneslärare,unknown
ämneslastare,unknown
ämnesmejslare,unknown
ämnesmottagare,unknown
ämnesprovare,unknown
ämnesslipare,unknown
ämnessorterare,unknown
ämnessvarvare,unknown
ämnessynare,unknown
ämnesvägare,unknown
ämnesvärmare,unknown
analysberedare,unknown
analyseringsarbetare,unknown
analystekniker,unknown
analytiker,unknown
anatomieprofessor,male
anatom,unknown
andelsbonde,unknown
andeskåderska,female
ändpåläggerska,female
andreingenjör,unknown
ändringssömmerska,female
ändringsskräddare,male
anfallare,unknown
anfangare,unknown
anförare,unknown
ångbåtsbefäl,male
ångbåtsdiskerska,female
ångbåtseldaren,unknown
ångbåtsförestånderska,female
ångbåtsköksdepartementförestånderska,female
ångbåtsköksförestånderska,female
ångbåtskokerska,female
ångbåtsrestaurangförestånderska,female
ångbåtsstäderska,female
ångbåtstjänarinna,female
ångbåtsuppasserska,female
angcentralarbetare,unknown
angcentralförman,unknown
ångfartygsförestånderska,female
ångfartygskokerska,female
ångfartygsstäderska,female
ångfartygsuppasserska,female
ångkokerska,female
änglamakerska,female
anglist,unknown
angmaskinist,unknown
angmaskinmontör,unknown
ångmaskinreparatör,unknown
angpannebesiktningsingenjör,unknown
angpannebyggare,unknown
ängpanneeldare,unknown
angpanneförman,unknown
angpannereparatör,unknown
ängpreparerare,unknown
ångrostningsfabriksinnehaverska,female
ångslupsbefälhafvare,male
ängtvättare,unknown
anhörigvärdare,unknown
animatör,unknown
animator,unknown
ankarsmed,unknown
ankbonde,unknown
änkedoktorinna,female
änkedrottning,female
änkefriherrinna,female
änkegrefvinna,female
änkegrevinna,female
änkehertiginna,female
änkeprofessorska,female
änkeprostinna,female
ankomstkontrollant,unknown
anläggningsarbetare,unknown
anläggningschef,unknown
anläggningsförman,unknown
anläggningsingenjör,unknown
anläggningskonstruktör,unknown
anläggningsmaskinförare,unknown
