"word","polarity","strength","sense","written_form","part_of_speech","confidence","lemgram","lemgram_frequency","lemma_frequency","example"
"luguber","neg",-2,"luguber..1","['luguber']","av","0.75","luguber..av.1",116,116,"Dessemellan ligger en lång och luguber period som stalinistiskt lydparti ."
"överraskad","pos",2,,,"av","0.25","överraskad..av.1",397,8716,"Han var tydligt överraskad av frågan ."
"förbittrad","neg",-2,"förbittrad..1","['förbittrad']","av","0.5","förbittrad..av.1",95,605,"Protestdemonstrationerna har förenat yttersta vänstern , studentrörelsen , fackföreningsrörelsen och de traditionella oppositionspartierna i en förbittrad serie åtgärder , från gatudemonstrationer - ibland urartade till brännande av bilar och allmän vandalism - till tal i parlamentet ."
"fördystra","neg",-2,"fördystra..1","['fördystra']","vb","0.75","fördystra..vb.1",76,76,"Utspelet kan ytterligare fördystra de redan spända rysk-amerikanska relationerna.Moskvaregeringen är starkt emot USA:s utbyggnad av ett antirobotförsvar i östra Europa med bland annat robotar i Polen och radaranläggningar i Tjeckien ."
"beräknande","pos",2,"beräknande..1","['beräknande']","av","0.75","beräknande..av.1",0,817,"Den beräknande Gauguin insåg att det var något som saknades i Söderhavet ."
"krossa","neg",-2,"krossa..1","['krossa']","vb","0.5","krossa..vb.1",19309,19352,"Och den islamistiska rörelsen Hamas , som ligger bakom de flesta självmordsbombningarna mot judiska mål , underkände omedelbart Israels plan och hävdade att avsikten med den är att krossa det palestinska motståndet ."
"olyckligtvis","neg",-2,"olyckligtvis..1","['olyckligtvis']","ab","0.5","olyckligtvis..ab.1",822,827,"Han var i färd med att lasta ett Jet Blue-plan i New York när han somnade , olyckligtvis i flygplanets bagageutrymme , så därför följde han med på resan ."
"inadekvat","neg",-2,"inadekvat..1","['inadekvat']","av","0.5","inadekvat..av.1",295,299,"Storbritanniens FN-ambassadör Sir Jeremy Greenstock intog samma ståndpunkt som USA , kallade rapporten för "" inadekvat "" och han var "" djupt besviken "" ."
"dum","neg",-2,"dum..3","['dum']","av","0.75","dum..av.1",32918,33021,"( TT ) "" Jag var dum och gjorde ett misstag "" FOTBOLL : Den engelske landslagsbacken Rio Ferdinand erkänner att det var ett dumt misstag att missa det dopningstest som ledde till att han stängdes av i åtta månader ."
"skadeglad","pos",2,"skadeglad..1","['skadeglad']","av","1.0","skadeglad..av.1",407,407,"De har lagt till i Tyskland där hon har uppsökt läkare för att få hjälp med en elak förkylning som gått ner i luftrören , berättar Jenny , som intygar att hon inte är det minsta skadeglad ."
"fjantig","neg",2,"fjantig..1","['fjantig']","av","1.0","fjantig..av.1",854,854,"inte för att det måste vara "" på riktigt "" för att få uttala sig , utan för att det är en så fjantig era att vara nostalgisk över ) ."
"kronisk","neg",-2,"kronisk..1","['kronisk']","av","1.0","kronisk..av.1",10682,10829,"Först skall slås fast att patofysiologin och effekten av nitroglycerin är annorlunda vid en kronisk än vid en akut kranskärlssjukdom ."
"praktisk","pos",2,,,"av","0.25","praktisk..av.1",44906,55692,"Men att nu upprätta fullständiga relationer med den palestinska myndigheten ( och därmed Hamas ) skulle leda till att trycket lättar på Hamas att i praktisk handling lägga grunden för fredsförhandlingar ."
"tappa modet","neg",-2,"tappa_modet..1","['tappa modet']","vbm","0.5","tappa_modet..vbm.1",194,"None","['jag..pn.1', 'rekommendation..nn.1', 'till..pp.1', 'denna..pn.1', 'orolig..av.1', 'pappa..nn.1', 'vara..vb.1', ':', '""', 'försöka..vb.1', 'att..ie.1', 'vara..vb.2|vara..vb.1', 'närvarande..av.1|närvara..vb.1', 'i..pp.1', 'du..pn.1', 'dotter..nn.1', 'liv..nn.1', 'som', 'förälder..nn.1', ',', 'tappa_modet..vbm.1', 'inte..ab.1', 'och..kn.1', 'försök..nn.1', 'ha..vb.1', 'tålamod..nn.1', 'och..kn.1', 'försök..nn.1', 'förstå..vb.1', 'svårighet..nn.1', 'inför..pp.1', 'så..ab.1', 'många', 'kulturell..av.1', 'skillnad..nn.1', '.\n']"
"missklä","pos",2,"missklä..1","['missklä']","vb","0.5","missklä..vb.1",9,9,"['allting..pn.1', 'klä..vb.1', 'en..al.1', 'skönhet..nn.2|skönhet..nn.1', 'och..kn.1', 'ingenting..pn.1', 'missklä..vb.1', 'en..al.1', 'ful..av.1', 'som', 'man..pn.1', 'så..ab.1', 'fin..av.1', 'bruka..vb.1', 'säga..vb.1', '.\n']"
"kyssa","pos",2,,,"vb","0.25","kyssa..vb.1",5277,5319,"än att kyssa sin egen"
"inlägga förtjänst","pos",2,"inlägga_förtjänst..1","['inlägga förtjänst']","vbm","0.75","inlägga_förtjänst..vbm.1",138,"None","['Zittel', 'inlägga_förtjänst..vbm.1', 'även..ab.1', 'om..pp.1', 'kyrkoförfattningen', 'av..pp.1', '1861', 'och..kn.1', 'stiftande..nn.1', 'av..pp.1', 'protestantföreningen', '1863', '.\n']"
"ointressant","neg",-2,,,"av","0.25","ointressant..av.1",4984,5090,"Andra avdelningen inleddes med ett ganska ointressant stycke filmmusik av Fahlström ."
"föryngra","pos",2,,,"vb","0.25","föryngra..vb.1",762,765,"Den traditionella scenen försöker föryngra sin publik och den nya danstruppen lär ge god draghjälp ."
"just","pos",2,"schyst..1","['just', 'juste', 'schysst', 'schyst', 'sjyst']","av","1.0","sjyst..av.1",1971,362201,"Vi spenderar halva EU : s budget på att ge bidrag till EU : s bönder så att de kan dumpa priserna på jordbruksprodukter till de länder vars bönder själva producerar just dessa produkter och skulle vilja exportera till Europa ."
"redig","pos",2,"redig..1","['redig']","av","0.5","redig..av.1",1527,1530,"Patienten , klar och redig , hade genomgått en knäplastik tre veckor tidigare och inkom nu utan föregående trauma på grund av svullnad och värmeökning i det opererade benets underben ."
"förlora","neg",-2,"förlora..2","['förlora']","vb","0.5","förlora..vb.1",131618,134530,"Ordkriget mellan Teheranregimen och västvärlden förvärrades dramatiskt på måndagen när chefen för FN:s atomenergiorgan IAEA förklarade att han håller på att förlora tålamodet med Irans ovilja att samarbeta om sitt kärnteknikprogram ."
"överse","pos",2,"överse..1","['överse']","vb","0.5","överse..vb.1",2405,2427,"Beslutet att granska ärendet betyder dock inte att JK bestämt sig för att överse med förseningen ."
"hjärtlig","pos",2,"hjärtlig..1","['hjärtlig']","av","0.5","hjärtlig..av.1",2436,2437,"Här vet man innebörden av hjärtlig , snabb service ."
"odegenererad","pos",-2,"odegenererad..1","['odegenererad']","av","0.5","odegenererad..av.1",0,"None",
"beskedlig","pos",2,"beskedlig..1","['beskedlig']","av","0.5","beskedlig..av.1",1373,1385,"Det var för att 28-årige Jeffery Thomas Carney sagt till en präst att han skulle genomföra en mordorgie som skulle få Virginia Tech-massakern att ” verka beskedlig ” ."
"sopa","pos",2,"sopa..1","['sopa']","vb","0.5","sopa..vb.1",3722,10349,""" Egentligen skulle jag sopa till dig "" och "" du ska få "" var några av hoten som mannen anklagas för att ha sagt ."
"usel","neg",-2,"usel..1","['usel']","av","1.0","usel..av.1",11214,11236,"Hasse satt själv i Elfsborgs spelarråd debutsäsongen för Haglund 2004 , då laget gjorde en usel inledning och röster höjdes för att sparka den då 31-årige tränaren ."
"hurtig","pos",2,"hurtig..1","['hurtig']","av","1.0","hurtig..av.1",1851,1856,"- Med risk för att låta hurtig har faktiskt allting blivit mycket enklare sedan jag erkände för mig själv att jag är synskadad ."
"snäll","pos",2,"snäll..1","['snäll']","av","0.75","snäll..av.1",36045,36086,"Nyligen gjorde Tidningarnas Telegrambyrå , TT , en undersökning om huruvida man tjänade på att vara snäll eller elak i allsvenskan ."
"självständig","pos",2,,,"av","0.25","självständig..av.1",27142,28755,"Dessutom tror jag att jag har en fördel som präst : att jag är självständig ."
